ticker,year,quarter,close,date
AAPL,2014,1,521.1933333333333,2014-01-01
AAPL,2014,2,438.67333333333335,2014-04-01
AAPL,2014,3,99.61666666666667,2014-07-01
AAPL,2014,4,112.43666666666667,2014-10-01
AAPL,2015,1,123.35000000000001,2015-01-01
AAPL,2015,2,126.95166666666667,2015-04-01
AAPL,2015,3,114.67,2015-07-01
AAPL,2015,4,114.35333333333334,2015-10-01
AAPL,2016,1,101.00666666666666,2016-01-01
AAPL,2016,2,96.39999999999999,2016-04-01
AAPL,2016,3,107.78666666666668,2016-07-01
AAPL,2016,4,113.29333333333334,2016-10-01
AAPL,2017,1,134.0,2017-01-01
AAPL,2017,2,146.81,2017-04-01
AAPL,2017,3,155.61666666666667,2017-07-01
AAPL,2017,4,170.04,2017-10-01
AAPL,2018,1,171.11,2018-01-01
AAPL,2018,2,179.08,2018-04-01
AAPL,2018,3,214.5533333333333,2018-07-01
AAPL,2018,4,185.06000000000003,2018-10-01
AAPL,2019,1,176.51333333333332,2019-01-01
AAPL,2019,2,191.22,2019-04-01
AAPL,2019,3,215.25,2019-07-01
AAPL,2019,4,269.88666666666666,2019-10-01
AAPL,2020,1,279.05333333333334,2020-01-01
AAPL,2020,2,325.5133333333333,2020-04-01
AAPL,2020,3,223.29666666666665,2020-07-01
AAPL,2020,4,120.2,2020-10-01
AAPL,2021,1,125.12333333333333,2021-01-01
AAPL,2021,2,131.01000000000002,2021-04-01
AAPL,2021,3,146.39666666666668,2021-07-01
AAPL,2021,4,164.22333333333333,2021-10-01
AAPL,2022,1,171.50333333333333,2022-01-01
AAPL,2022,2,147.73666666666668,2022-04-01
AAPL,2022,3,152.64333333333332,2022-07-01
AAPL,2022,4,143.76666666666668,2022-10-01
AMZN,2014,1,352.385,2014-01-01
AMZN,2014,2,313.82,2014-04-01
AMZN,2014,3,324.8233333333333,2014-07-01
AMZN,2014,4,318.15000000000003,2014-10-01
AMZN,2015,1,368.93,2015-01-01
AMZN,2015,2,428.3666666666666,2015-04-01
AMZN,2015,3,520.2366666666667,2015-07-01
AMZN,2015,4,655.53,2015-10-01
AMZN,2016,1,577.7199999999999,2016-01-01
AMZN,2016,2,699.3333333333334,2016-04-01
AMZN,2016,3,788.4266666666666,2016-07-01
AMZN,2016,4,763.4200000000001,2016-10-01
AMZN,2017,1,851.6866666666666,2017-01-01
AMZN,2017,2,962.5366666666667,2017-04-01
AMZN,2017,3,976.5766666666667,2017-07-01
AMZN,2017,4,1150.5,2017-10-01
AMZN,2018,1,1470.2266666666667,2018-01-01
AMZN,2018,2,1631.8500000000001,2018-04-01
